x,obs
1145,0.08175422
1146,0.08181128
1147,0.08174241
1148,0.08183683
1149,0.08191409
1150,0.08196645
1151,0.0819699
1152,0.08196831
1153,0.08207434
1154,0.08208906
1155,0.08203179
1156,0.08186498
1157,0.08190478
1158,0.08190525
1159,0.08212391
1160,0.08215425
1161,0.08227639
1162,0.08230396
1163,0.08224232
1164,0.0821555
1165,0.08219648
1166,0.0821519
1167,0.08208787
1168,0.08226863
1169,0.08216611
1170,0.08215595
1171,0.082141
1172,0.08205222
1173,0.08222827
1174,0.08235238
1175,0.08236299
1176,0.08226014
1177,0.08231447
1178,0.08241767
1179,0.08246952
1180,0.08228029
1181,0.08212174
1182,0.08195794
1183,0.08214109
1184,0.08223569
1185,0.08223477
1186,0.08215503
1187,0.0819233
1188,0.08207149
1189,0.08210867
1190,0.08237236
1191,0.08251953
1192,0.08251419
1193,0.0824432
1194,0.08246735
1195,0.08227756
1196,0.08227582
1197,0.08234992
1198,0.08242461
1199,0.08245333
1200,0.08237918
1201,0.08229979
1202,0.08242628
1203,0.08254372
1204,0.08249137
1205,0.08249126
1206,0.08254712
1207,0.08246996
1208,0.08257463
1209,0.08249212
1210,0.08254947
1211,0.08259207
1212,0.0825066
1213,0.08262127
1214,0.08258931
1215,0.08248595
1216,0.08259457
1217,0.08273496
1218,0.0828583
1219,0.08286731
1220,0.08296809
1221,0.08294445
1222,0.08302607
1223,0.08274565
1224,0.08258156
1225,0.08256526
1226,0.0826946
1227,0.08287275
1228,0.08294474
1229,0.08278853
1230,0.08290061
1231,0.08282351
1232,0.0828108
1233,0.08272402
1234,0.08264482
1235,0.08267747
1236,0.08286965
1237,0.08308271
1238,0.08306471
1239,0.08291252
1240,0.08302318
1241,0.08298451
1242,0.08313048
1243,0.08331906
1244,0.08335877
1245,0.08326038
1246,0.08333302
1247,0.08330599
1248,0.08334703
1249,0.08350965
1250,0.08366854
1251,0.08367249
1252,0.08342861
1253,0.08326039
1254,0.08321036
1255,0.08318042
1256,0.08321021
1257,0.0831207
1258,0.08312272
1259,0.08333909
1260,0.08323914
1261,0.08337647
1262,0.08334749
1263,0.08339482
1264,0.0836224
1265,0.08351453
1266,0.08349887
1267,0.08333109
1268,0.08346117
1269,0.08368911
1270,0.08381942
1271,0.08370925
1272,0.08370844
1273,0.08383706
1274,0.08399479
1275,0.08391324
1276,0.0837744
1277,0.08379156
1278,0.08366506
1279,0.08361602
1280,0.08353683
1281,0.08355828
1282,0.08376178
1283,0.08375595
1284,0.08359589
1285,0.08381629
1286,0.08371363
1287,0.08365437
1288,0.08376834
1289,0.08388308
1290,0.0838346
1291,0.08383043
1292,0.08394088
1293,0.08392439
1294,0.08392596
1295,0.08403642
1296,0.08423022
1297,0.08409883
1298,0.08405536
1299,0.08405773
1300,0.0839632
1301,0.08387142
1302,0.08376172
1303,0.08366968
1304,0.08380578
1305,0.08374905
1306,0.08383495
1307,0.08396559
1308,0.084001
1309,0.08400413
1310,0.08382656
1311,0.08388913
1312,0.084106620000000007
1313,0.08433709
1314,0.08423409
1315,0.0843031
1316,0.08439275
1317,0.08446774
1318,0.08450293
1319,0.08437047
1320,0.08417458
1321,0.0840288
1322,0.08403062
1323,0.08403174
1324,0.08415379
1325,0.08415404
1326,0.08428746
1327,0.08425699
1328,0.08427756
1329,0.08424405
1330,0.08429576
1331,0.08419377
1332,0.08423032
1333,0.08427221
1334,0.08433656
1335,0.08439498
1336,0.08441642
1337,0.08451622
1338,0.08446531
1339,0.08429516
1340,0.0843294
1341,0.08441006
1342,0.0844404
1343,0.08433111
1344,0.08434533
1345,0.08435815
1346,0.08427032
1347,0.08451487
1348,0.08462625
1349,0.08463612
1350,0.08470958
1351,0.0847417
1352,0.08474322
1353,0.08473398
1354,0.08486633
1355,0.0847971
1356,0.08480281
1357,0.08477135
1358,0.08474947
1359,0.08469735
1360,0.08465314
1361,0.08457266
1362,0.08476449
1363,0.08494536
1364,0.08496308
1365,0.08495365
1366,0.08498859
1367,0.08510203
1368,0.08502513
1369,0.08496603
1370,0.08505729
1371,0.08519936
1372,0.08498137
1373,0.08510879
1374,0.08500779
1375,0.08479729
1376,0.08475656
1377,0.08488276
1378,0.08490858
1379,0.08488324
1380,0.08488826
1381,0.08495915
1382,0.08494654
1383,0.0849948
1384,0.0851101
1385,0.0851789
1386,0.08530341
1387,0.08528955
1388,0.08525632
1389,0.08542649
1390,0.08546253
1391,0.08539454
1392,0.08518935
1393,0.08489063
1394,0.08481544
1395,0.08477454
1396,0.08481444
1397,0.08486111
1398,0.08510375
1399,0.08499333
1400,0.08496212
1401,0.08498344
1402,0.08500462
1403,0.08512437
1404,0.08521603
1405,0.08527952
1406,0.0851794
1407,0.08529385
1408,0.08547291
1409,0.0854543
1410,0.0854454
1411,0.08541664
1412,0.08543031
1413,0.08545641
1414,0.08551067
1415,0.08557652
1416,0.08553009
1417,0.0855221
1418,0.08546317
1419,0.08548035
1420,0.08544479
1421,0.0854226
1422,0.08544162
1423,0.08563711
1424,0.08575027
1425,0.085674
1426,0.08572225
1427,0.08587676
1428,0.08579266
1429,0.08560524
1430,0.08572025
1431,0.08566503
1432,0.08587676
1433,0.08596361
1434,0.08587804
1435,0.08614482
1436,0.08623839
1437,0.08634511
1438,0.08623279
1439,0.08599222
1440,0.08580752
1441,0.08576845
1442,0.08579321
1443,0.08590101
1444,0.08590775
1445,0.08592221
1446,0.08591718
1447,0.08592038
1448,0.08616357
1449,0.08612515
1450,0.08602387
1451,0.08590591
1452,0.08586505
1453,0.08590237
1454,0.08596395
1455,0.08597763
1456,0.08608461
1457,0.08609621
1458,0.08611917
1459,0.08602909
1460,0.08609499
1461,0.08612284
1462,0.08623141
1463,0.08628602
1464,0.08618099
1465,0.08635866
1466,0.08653076
1467,0.08662074
1468,0.08682917
1469,0.0867416
1470,0.08665456
1471,0.08623413
1472,0.0862338
1473,0.08629671
1474,0.08646759
1475,0.08636115
1476,0.08658789
1477,0.08675351
1478,0.08687991
1479,0.08645411
1480,0.08646411
1481,0.0864523
1482,0.08631046
1483,0.08622625
1484,0.08631869
1485,0.08624382
1486,0.08629017
1487,0.08624133
1488,0.08647396
1489,0.08645678
1490,0.0865616
1491,0.08640575
1492,0.08641995
1493,0.08640908
1494,0.08629877
1495,0.08655391
1496,0.08654333
1497,0.08644518
1498,0.08654221
1499,0.08650615
1500,0.0865407
1501,0.08656286
1502,0.08671059
1503,0.08676877
1504,0.08676285
1505,0.08655769
1506,0.08654004
1507,0.08647183
1508,0.08646609
1509,0.08667596
1510,0.08687007
1511,0.08690335
1512,0.08689044
1513,0.08698233
1514,0.08709522
1515,0.08740902
1516,0.08730228
1517,0.0870683
1518,0.08718269
1519,0.08722379
1520,0.08721386
1521,0.08713324
1522,0.08710885
1523,0.08691253
1524,0.0869185
1525,0.08697601
1526,0.08711562
1527,0.0872386
1528,0.08715362
1529,0.08706356
1530,0.086966860000000007
1531,0.08688633
1532,0.08691289
1533,0.08702198
1534,0.08701213
1535,0.08691321
1536,0.08687276
1537,0.08713319
1538,0.08738695
1539,0.08731975
1540,0.08711403
1541,0.08693483
1542,0.08670263
1543,0.08653767
1544,0.08678755
1545,0.08692566
1546,0.08704454
1547,0.08707566
1548,0.08709911
1549,0.08730225
1550,0.08739863
1551,0.08753994
1552,0.08763475
1553,0.08763255
1554,0.08753873
1555,0.08719917
1556,0.08715419
1557,0.08717379
1558,0.08741498
1559,0.08750409
1560,0.08721197
1561,0.08709212
1562,0.08698276
1563,0.08706793
1564,0.08711767
1565,0.08728813
1566,0.08745316
1567,0.08749651
1568,0.0874676
1569,0.08758039
1570,0.0873569
1571,0.08730481
1572,0.08752718
1573,0.08751935
1574,0.08738336
1575,0.08720082
1576,0.0870498
1577,0.08676639
1578,0.08695882
1579,0.08705188
1580,0.08716618
1581,0.08721852
1582,0.08704706
1583,0.08707722
1584,0.0870859
1585,0.08711085
1586,0.08704059
1587,0.08738887
1588,0.08741141
1589,0.08749092
1590,0.0876498
1591,0.0877569
1592,0.08767933
1593,0.08791125
1594,0.0878012
1595,0.08775961
1596,0.08785396
1597,0.08792239
1598,0.08812933
1599,0.08818312
1600,0.08814964
1601,0.08829154
1602,0.08829869
1603,0.08824296
1604,0.08812638
1605,0.08820224
1606,0.08796117
1607,0.08787901
1608,0.0878539
1609,0.08781399
1610,0.08770778
1611,0.08765364
1612,0.08769655
1613,0.08773274
1614,0.08778128
1615,0.08789533
1616,0.08783288
1617,0.0878435
1618,0.08791125
1619,0.08806834
1620,0.08790934
1621,0.08777171
1622,0.08773331
1623,0.08795037
1624,0.08798304
1625,0.08801513
1626,0.08800978
1627,0.08785979
1628,0.08787224
1629,0.08781315
1630,0.08794098
1631,0.08815267
1632,0.08797466
1633,0.08781012
1634,0.0878545
1635,0.08808857
1636,0.08812997
1637,0.0879126
1638,0.08781164
1639,0.08785976
1640,0.08796465
1641,0.08810022
1642,0.08822875
1643,0.08814222
1644,0.08820111
1645,0.08832711
1646,0.08829851
1647,0.08829488
1648,0.0882298
1649,0.08833697
1650,0.08835948
1651,0.08842862
1652,0.08833954
1653,0.08829012
1654,0.08822799
1655,0.08808787
1656,0.08785988
1657,0.08766364
1658,0.08777385
1659,0.0880646
1660,0.08815426
1661,0.08817151
1662,0.088176
1663,0.08827444
1664,0.08814558
